make,year,fuel,hp,cylinders,transmission,wd,doors,size,style,highway mpg,city mpg,popularity,msrp,is_factory tuner,is_hybrid,is_luxury,is_performance,is_flex fuel,is_crossover,is_hatchback,is_diesel,is_exotic,is_high-performance
bmw,4,premium unleaded (required),335.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,26.0,19,3916,46135,True,False,True,True,False,False,False,False,False,True
bmw,4,premium unleaded (required),300.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,28.0,19,3916,40650,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),300.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,20,3916,36350,False,False,True,True,False,False,False,False,False,True
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,18,3916,29450,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,28.0,18,3916,34500,False,False,True,False,False,False,False,False,False,False
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,18,3916,31200,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),300.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,26.0,17,3916,44100,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),300.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,20,3916,39300,False,False,True,True,False,False,False,False,False,True
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,28.0,18,3916,36900,False,False,True,False,False,False,False,False,False,False
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,27.0,18,3916,37200,False,False,True,False,False,False,False,False,False,False
bmw,4,premium unleaded (required),300.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,20,3916,39600,False,False,True,True,False,False,False,False,False,True
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,19,3916,31500,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),300.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,28.0,19,3916,44400,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,28.0,19,3916,37200,False,False,True,False,False,False,False,False,False,False
bmw,4,premium unleaded (required),230.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,19,3916,31500,False,False,True,True,False,False,False,False,False,False
bmw,4,premium unleaded (required),320.0,3,MANUAL,rear wheel drive,2.0,Compact,convertible,25.0,18,3916,48250,False,False,True,True,False,False,False,False,False,True
bmw,4,premium unleaded (required),320.0,3,MANUAL,rear wheel drive,2.0,Compact,coupe,28.0,20,3916,43550,False,False,True,True,False,False,False,False,False,True
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,24.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,24.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,20.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,24.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,all wheel drive,4.0,Midsize,sedan,21.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,24.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,20.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,24.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,24.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,all wheel drive,4.0,Midsize,sedan,21.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,AUTOMATIC,front wheel drive,4.0,Midsize,wagon,21.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,all wheel drive,4.0,Midsize,sedan,22.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,MANUAL,front wheel drive,4.0,Midsize,sedan,22.0,17,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,AUTOMATIC,front wheel drive,4.0,Midsize,sedan,22.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
audi,0,regular unleaded,172.0,3,AUTOMATIC,all wheel drive,4.0,Midsize,wagon,21.0,16,3105,2000,False,False,True,False,False,False,False,False,False,False
fiat,5,premium unleaded (recommended),160.0,1,MANUAL,rear wheel drive,2.0,Compact,convertible,35.0,26,819,27495,False,False,False,True,False,False,False,False,False,False
fiat,5,premium unleaded (recommended),160.0,1,MANUAL,rear wheel drive,2.0,Compact,convertible,35.0,26,819,24995,False,False,False,True,False,False,False,False,False,False
